LIMS export of <Calib_2018.d80>
Version 03-CDate 2018-12-05-12-35-14

Nr;Pos;SampleName;CreationDate;ProcessTime;Amount;Unit;ConcentrateAmount;Unit;Type;State;CalFile;MethodFile;Height;Cell;Hg [ng];Concentration;Unit;DilutionWeight;FinalVolume;CalFactor;DilutionFactor;Statistics;Group;Remark;

1;1;0 ng;2018-11-29-08-23-36;2018-11-29-08-29-50;0,09950;g;0,09950;g;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0020;0;0,0000;0,0000;µg/kg;;;1,0000;;;;;
2;1;0.1 ng;2018-11-29-08-36-48;2018-11-29-08-38-21;0,09950;g;0,09950;g;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0214;0;0,1000;1,0050;µg/kg;;;1,0000;;;;0.1 ml eines 0.1µg/l Hg-Standards;
3;3;0.2 ng;2018-11-29-08-45-36;2018-11-29-08-45-55;0,09900;g;0,09900;g;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0265;0;0,2000;2,0202;µg/kg;;;1,0000;;;;;
4;1;0.3 ng;2018-11-29-08-53-13;2018-11-29-08-53-33;0,09900;g;0,09900;g;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0387;0;0,3000;3,0303;µg/kg;;;1,0000;;;;;
5;3;0.4 ng;2018-11-29-09-00-51;2018-11-29-09-01-09;0,09900;g;0,09900;g;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0545;0;0,4000;4,0404;µg/kg;;;1,0000;;;;;
6;1;0.5 ng;2018-11-29-09-08-24;2018-11-29-09-08-41;0,09900;g;0,09900;g;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0646;0;0,5000;5,0505;µg/kg;;;1,0000;;;;;
7;1;0 ng;2018-11-29-09-34-56;2018-11-29-09-35-58;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0001;0;0,0000;0,0000;µg/L;0,0000;0,0000;1,0000;;;;;
8;3;0.1 ng;2018-11-29-09-42-57;2018-11-29-09-43-30;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0122;0;0,1000;1,0000;µg/L;0,0000;0,0000;1,0000;;;;;
9;1;0.2 ng;2018-11-29-09-50-57;2018-11-29-09-51-19;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0250;0;0,2000;2,0000;µg/L;0,0000;0,0000;1,0000;;;;;
10;3;0.2 ng;2018-11-29-09-58-34;2018-11-29-09-58-46;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0263;0;0,2000;2,0000;µg/L;0,0000;0,0000;1,0000;;;;;
11;1;0.3 ng;2018-11-29-10-06-13;2018-11-29-10-06-29;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0402;0;0,3000;3,0000;µg/L;0,0000;0,0000;1,0000;;;;;
12;3;0.4 ng;2018-11-29-10-13-40;2018-11-29-10-14-04;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0510;0;0,4000;4,0000;µg/L;0,0000;0,0000;1,0000;;;;;
13;1;0.5 ng;2018-11-29-10-21-20;2018-11-29-10-21-34;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,0643;0;0,5000;5,0000;µg/L;0,0000;0,0000;1,0000;;;;;
14;1;1 ng;2018-11-29-11-20-03;2018-11-29-11-21-28;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,1306;0;1,0000;10,0000;µg/L;0,0000;0,0000;1,0000;;;;;
15;3;Fehlschuss 2 ng;2018-11-29-11-27-49;2018-11-29-11-28-52;0,10000;mL;0,10000;mL;normal;finished;Calib_2018_11.c80;Flüssig.m80;0,2574;0;Out of range;Out of range;µg/L;0,0000;0,0000;1,0000;;;;;
16;1;2 ng;2018-11-29-11-36-12;2018-11-29-11-36-32;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,2611;0;2,0000;20,0000;µg/L;0,0000;0,0000;1,0000;;;;;
17;3;3 ng;2018-11-29-11-43-49;2018-11-29-11-44-03;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,3814;0;3,0000;30,0000;µg/L;0,0000;0,0000;1,0000;;;;;
18;1;4 ng;2018-11-29-11-51-16;2018-11-29-11-51-30;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,4864;0;4,0000;40,0000;µg/L;0,0000;0,0000;1,0000;;;;;
19;3;5 ng;2018-11-29-11-58-44;2018-11-29-11-59-01;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,5797;0;5,0000;50,0000;µg/L;0,0000;0,0000;1,0000;;;;;
20;1;NBS 1635;2018-11-29-12-09-40;2018-11-29-12-16-21;0,05000;g;0,05000;g;normal;finished;DMA SN 18012392.c80;Feststoffe std.m80;0,2595;0;2,3866;47,7325;µg/kg;;;1,0000;;;;;
21;2;NBS 1635;2018-11-29-12-10-09;2018-11-29-12-22-20;0,05390;g;0,05390;g;normal;finished;DMA SN 18012392.c80;Feststoffe std.m80;0,2846;0;2,6183;48,5770;µg/kg;;;1,0000;;;;;
22;3;BW;2018-11-29-12-15-42;2018-11-29-12-28-40;1,00000;g;1,00000;g;normal;finished;Calib_2018_11.c80;BV-Method.m80;0,0011;0;0,0054;0,0054;µg/kg;;;1,0000;;;;;
23;4;BW;2018-11-29-12-15-45;2018-11-29-12-33-24;1,00000;g;1,00000;g;normal;finished;Calib_2018_11.c80;BV-Method.m80;0,0007;0;0,0019;0,0019;µg/kg;;;1,0000;;;;;
24;1;BW;2018-11-29-14-15-17;2018-11-29-14-15-51;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;BV-Method.m80;0,0035;0;0,0238;0,2379;µg/kg;;;1,0000;;;;;
25;2;BW;2018-11-29-14-15-20;2018-11-29-14-20-15;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;BV-Method.m80;0,0006;0;0,0015;0,0147;µg/kg;;;1,0000;;;;;
26;1;10 ng;2018-11-29-14-26-09;2018-11-29-14-26-47;0,10000;mL;0,10000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,4598;1;10,0000;100,0000;µg/L;0,0000;0,0000;1,0000;;;;0.1 ml eines 100 µg/l Hg-Standards;
27;3;15 ng;2018-11-29-14-34-19;2018-11-29-14-34-40;0,15000;mL;0,15000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,6443;1;15,0000;100,0000;µg/L;0,0000;0,0000;1,0000;;;;;
28;1;20 ng;2018-11-29-14-42-06;2018-11-29-14-42-24;0,20000;mL;0,20000;mL;calibrate;finished;<geänderte Daten>;Flüssig.m80;0,7832;1;20,0000;100,0000;µg/L;0,0000;0,0000;1,0000;;;;;
29;1;NBS 1633 c;2018-11-29-14-58-03;2018-11-29-14-58-44;0,01050;g;0,01050;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,5150;1;11,4908;1094,3610;µg/kg;;;1,0000;;;1;;
30;2;NBS 1633 c;2018-11-29-14-58-28;2018-11-29-15-04-44;0,01170;g;0,01170;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,5574;1;12,6481;1081,0381;µg/kg;;;1,0000;;;1;;
