"Labels","StartTime","Concentration","WFR","Defined"
"M 190131/29 QC MM2.1",2019-02-01 09:26:50,48.0325817912381,96.0651635824762,"50"
"M 190117/05 QC MM2.2",2019-01-18 09:32:40,44.8908899548095,89.7817799096191,"50"
"M 190103/03 QC MM2.2",2019-01-03 11:04:25,42.3070916375958,84.6141832751915,"50"
"M 181220/103 QC MM2.1",2018-12-20 14:34:24,51.0925811748821,102.185162349764,"50"
"M 181213/41 QC MM2.2",2018-12-14 11:01:42,44.4697695208179,88.9395390416357,"50"
"M 181206/005 QC MM2.1",2018-12-10 11:30:07,44.8880941004253,89.7761882008506,"50"
"M 181206/005 QC MM2.1",2018-12-07 10:53:00,44.2788049337623,88.5576098675246,"50"
"M 181129/151 QC MM2.2",2018-11-30 10:06:33,43.7845288352776,87.5690576705552,"50"
"M 181122/02 QC MM2.1",2018-11-22 15:39:17,47.5951028453777,95.1902056907553,"50"
"M 181115/30 QC MM2.1",2018-11-15 16:03:17,46.2639148147148,92.5278296294297,"50"
"M 181031/22 QC MM2.1",2018-11-07 10:09:38,39.7868781140888,79.5737562281776,"50"
"M 181031/22 QC MM2.1",2018-11-06 15:21:11,44.4411544584014,88.8823089168028,"50"
"M 181018/16 QC MM2 50.1",2018-10-18 16:50:25,41.6138871762163,83.2277743524326,"50"
"M 181011/73 QC MM2 50.2",2018-10-11 15:48:22,45.744304417593,91.4886088351859,"50"
"M181004/05 QC MM2 50.2",2018-10-04 16:27:02,45.5865759357878,91.1731518715757,"50"
"M 180921/02 QC MM2.1",2018-09-21 12:40:29,42.8306251903796,85.6612503807592,"50"
"M 180907/09 QC MM2.2",2018-09-07 13:16:57,65.8008770122206,131.601754024441,"50"
"M 180822/02 QC MM2.1",2018-08-22 16:39:25,12.0581908826911,24.1163817653822,"50"
"M 180809/22 QC MM2.1",2018-08-09 16:27:45,13.3776479867053,26.7552959734106,"50"
"M 180802/14 QC MM2.2 Pt-Ges",2018-08-02 18:40:39,14.9175234846446,29.8350469692892,"50"
"M180725/03 QC MM2.2 Pt-Ges",2018-07-27 08:40:38,8.76178304266728,17.5235660853346,"50"
"M180713/37 QC MM2.1 Pt-Ges",2018-07-13 13:11:16,6.5730568267671,13.1461136535342,"50"
"M180629/05 QC MM2.2 Pt Ges",2018-06-29 14:57:33,14.4306757990976,28.8613515981951,"50"
"M180628/07 QC MM2.1 Pt-Ges",2018-06-28 15:32:12,8.970895352123,17.941790704246,"50"
"M180614/05 QC MM2.1 Pt-Ges",2018-06-15 09:58:54,16.5903415649864,33.1806831299729,"50"
"M180606/16 QC MM2 1 Pt-Ges",2018-06-08 10:36:58,11.6031634612425,23.2063269224851,"50"
"M180530/08 QC MM2.2 Pt ges",2018-05-30 12:58:33,11.5151249668442,23.0302499336884,"50"
"M180518/04 QC MM2.1 Pt ges",2018-05-23 09:36:31,10.8603427695901,21.7206855391802,"50"
"M 180507/17 QC MM2 50.2",2018-05-11 18:55:07,19.8443795699775,39.6887591399551,"50"
"M 180503/22 QC MM2 50.1",2018-05-04 13:52:17,5.11803859307523,10.2360771861505,"50"
"M 180425/X2 QC MM2 Pt1",2018-04-25 19:06:12,9.07587392054592,18.1517478410918,"50"
"M QC MM2.2",2018-04-16 12:27:41,11.3388544166439,22.6777088332878,"50"
"M QC MM2 50.1",2018-04-05 16:50:48,38.5177881829936,77.0355763659873,"50"
"M QC MM2 50.1",2018-03-28 12:48:48,9.69518440023307,19.3903688004661,"50"
"M QC MM2.1",2018-03-02 17:03:11,22.6921099912082,45.3842199824163,"50"
