"Labels","StartTime","Area","Concentration"
"M 190208/01 QC VBW",2019-02-08 11:01:19,0,0.00801293888669326
"M 190131/26 QC VBW",2019-01-31 14:12:37,0,-0.000814276185199514
"M 190117/01 QC VBW",2019-01-17 14:44:40,0,0.004
"M 181213/37 QC VBW",2018-12-13 12:35:39,0,0.002
"M 181206/02 QC VBW",2018-12-06 10:52:46,0,0.002
"M 181122/01 QC VBW",2018-11-22 11:44:01,0,0.001
"M 181031/19 QC VBW",2018-10-31 12:57:40,0,0.001
"M 181018/13 QC VBW",2018-10-18 13:11:41,0,0.003
"M 181011/69 QC VBW",2018-10-11 12:06:14,0,0.008
"M181004/08 QC VBW",2018-10-04 13:20:50,0,0.003
"M 180809/24 QC VBW",2018-08-09 12:57:53,78.5077610875265,0.025
"M180629/01 QC VBW",2018-06-29 11:26:06,44.0510323058637,0.003
"M180614/02 QC VBW",2018-06-14 11:31:52,51.0811695800685,0.001
"M180606/13 QC VBW",2018-06-06 13:19:42,39.5270669496805,0
"M180518/01 QC VBW",2018-05-18 13:08:08,27.6781388572347,0.004
"M QC VBW",2018-05-03 12:08:14,31.7015357520431,0.002
"M QC VBW",2018-04-25 12:49:13,55.2091006935329,0.007
"M QC VBW",2018-04-13 13:10:14,52.776827771133,0.003
"M QC VBW",2018-04-05 14:16:15,45.5590785954185,0.002
