"Labels","StartTime","Concentration","WFR","Defined"
"M 190208/02 QC MM3.1",2019-02-08 11:11:46,4.90106795917178,98.0213591834355,"5"
"M 190131/28 QC MM3.2",2019-01-31 14:33:27,4.59044018516323,91.8088037032645,"5"
"M 190117/03 QC MM3.2",2019-01-17 15:05:35,3.96666087053928,79.3332174107856,"5.0"
"M 181213/39 QC MM3.2",2018-12-13 12:56:38,4.61324121765423,92.2648243530846,"5.0"
"M 181206/03 QC MM3.1",2018-12-06 11:03:13,4.69267085162804,93.8534170325608,"5.0"
"M 181122/05 QC MM3.2",2018-11-22 12:04:36,4.5635746886472,91.2714937729441,"5.0"
"M 181031/21 QC MM3.2",2018-10-31 13:18:44,3.91499992568808,78.2999985137617,"5.0"
"M 181018/15 QC MM3 5.2",2018-10-18 13:32:49,3.70154472356486,74.0308944712971,"5.0"
"M181004/06 QC MM3 5.1",2018-10-04 13:31:21,4.4567055767192,89.134111534384,"5.0"
"M 180809/25 QC QC MM3 5.1 Oxali",2018-08-09 13:08:31,4.58104858081605,91.620971616321,"5.0"
"M180629/03 QC MM3 5.2",2018-06-29 11:46:57,4.20146357271196,84.0292714542393,"5.0"
"M180614/04 QC MM3 5.2",2018-06-14 11:53:03,4.4238000113319,88.4760002266381,"5.0"
"M180606/14 QC MM3 5.1",2018-06-06 13:30:20,4.83208358557086,96.6416717114173,"5.0"
"M180518/03 QC MM3 5.2",2018-05-18 13:29:09,5.12043700028558,102.408740005711,"5.0"
"M QC MM3 5.2",2018-05-03 12:29:17,3.67286910706952,73.4573821413905,"5.0"
"M QC MM3 5.1",2018-04-25 12:59:37,33.8169034690722,67.6338069381443,"50"
"M QC MM3 5.1",2018-04-13 13:20:43,4.54379717171045,90.875943434209,"5.0"
"M QC MM3 5.1",2018-04-05 14:26:43,43.1833099673865,86.3666199347731,"50"
