"Labels","StartTime","Area","Concentration"
"M 190208/01 QC VBW",2019-02-08 11:01:19,0,-0.0209449953108646
"M 190131/26 QC VBW",2019-01-31 14:12:37,0,0.00477069833944712
"M 190117/01 QC VBW",2019-01-17 14:44:40,0,0.007
"M 181213/37 QC VBW",2018-12-13 12:35:39,0,0.006
"M 181206/02 QC VBW",2018-12-06 10:52:46,0,0.005
"M 181122/01 QC VBW",2018-11-22 11:44:01,0,0.005
"M 181031/19 QC VBW",2018-10-31 12:57:40,0,0.002
"M 181018/13 QC VBW",2018-10-18 13:11:41,0,0.004
"M 181011/69 QC VBW",2018-10-11 12:06:14,0,0.007
"M181004/08 QC VBW",2018-10-04 13:20:50,0,0.01
"M 180809/24 QC VBW",2018-08-09 12:57:53,63.7204361386871,0.03
"M180629/01 QC VBW",2018-06-29 11:26:06,26.6111104296504,0.005
"M180614/02 QC VBW",2018-06-14 11:31:52,34.5215509707975,0.004
"M180606/13 QC VBW",2018-06-06 13:19:42,31.1125978951992,0.005
"M180518/01 QC VBW",2018-05-18 13:08:08,17.5329484163495,0.008
"M QC VBW",2018-05-03 12:08:14,22.8244729808305,0.003
"M QC VBW",2018-04-25 12:49:13,40.3098033863285,0.009
"M QC VBW",2018-04-13 13:10:14,46.2483128464698,0.005
"M QC VBW",2018-04-05 14:16:15,67.1667011469717,0.009
