,,Raw.Average,Raw.Average,Raw.Average,Raw.STD,Raw.STD,Raw.STD,Raw.RSD,Raw.RSD,Raw.RSD,Raw.Intensity,Raw.Intensity,Raw.Intensity,ExtCal.Average,ExtCal.Average,ExtCal.Average,ExtCal.STD,ExtCal.STD,ExtCal.STD,ExtCal.RSD,ExtCal.RSD,ExtCal.RSD,ExtCal.StandardConcentration,ExtCal.StandardConcentration,ExtCal.StandardConcentration,StartTime,BrigidMS,BrigidMS,BrigidMS,BrigidMS,BrigidMS
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ExtCal,ExtCal,ExtCal,ExtCal,ExtCal
,,187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),,Sample Type,Standard,Dilution Factor,Amount,Final Quantity
,,Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (%),Y (%),Y (cps),Y (cps),Y (cps),Y (%),Y (ng/L),Y (ng/L),Y (%),Y (ng/L),Y (ng/L),Y (%),Y (%),Y (%),Y (%),Y (ng/L),Y (ng/L),,,,,,
1,Std1,1,3060,3060,0,0,0,0,0,0,1,3060,3060,100,0.059939657,0.059939657,N/A,0,0,N/A,0,0,,0.05,0.05,2018-11-07T09:16:22.318137,STD,DIN32645_1,1,,
2,Std2,1,3522,3522,0,0,0,0,0,0,1,3522,3522,100,0.107756144,0.107756144,N/A,0,0,N/A,0,0,,0.1,0.1,2018-11-07T09:18:41.6551893,STD,DIN32645_2,1,,
3,Std3,1,3707,3707,0,0,0,0,0,0,1,3707,3707,100,0.126903439,0.126903439,N/A,0,0,N/A,0,0,,0.15,0.15,2018-11-07T09:13:31.7450278,STD,DIN32645_3,1,,
4,Std4,1,4280,4280,0,0,0,0,0,0,1,4280,4280,100,0.186208302,0.186208302,N/A,0,0,N/A,0,0,,0.2,0.2,2018-11-07T09:16:22.318138,STD,DIN32645_4,1,,
5,Std5,1,5058,5058,0,0,0,0,0,0,1,5058,5058,100,0.266730439,0.266730439,N/A,0,0,N/A,0,0,,0.25,0.25,2018-11-07T09:18:41.6551894,STD,DIN32645_5,1,,
6,Std6,1,5510,5510,0,0,0,0,0,0,1,5510,5510,100,0.313511937,0.313511937,N/A,0,0,N/A,0,0,,0.3,0.3,2018-11-07T09:13:31.7450279,STD,DIN32645_6,1,,
7,Std7,1,5703,5703,0,0,0,0,0,0,1,5703,5703,100,0.333487223,0.333487223,N/A,0,0,N/A,0,0,,0.35,0.35,2018-11-07T09:16:22.318139,STD,DIN32645_7,1,,
8,Std8,1,6205,6205,0,0,0,0,0,0,1,6205,6205,100,0.385443665,0.385443665,N/A,0,0,N/A,0,0,,0.4,0.4,2018-11-07T09:18:41.6551895,STD,DIN32645_8,1,,
9,Std9,1,7156,7156,0,0,0,0,0,0,1,7156,7156,100,0.483871109,0.483871109,N/A,0,0,N/A,0,0,,0.45,0.45,2018-11-07T09:13:31.7450280,STD,DIN32645_9,1,,
10,Std10,1,7178,7178,0,0,0,0,0,0,1,7178,7178,100,0.486148085,0.486148085,N/A,0,0,N/A,0,0,,0.5,0.5,2018-11-07T09:16:22.318140,STD,DIN32645_10,1,,
12,Smpl,1,7000,7000,0,0,0,0,0,0,1,7000,7000,100,0.467725283,0.467725283,0,0,0,0,0,0,,,,2018-11-07T09:18:41.6551896,UNKNOWN,,1,,
