,,Raw.Average,Raw.Average,Raw.Average,Raw.STD,Raw.STD,Raw.STD,Raw.RSD,Raw.RSD,Raw.RSD,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,ExtCal.Average,ExtCal.Average,ExtCal.Average,ExtCal.STD,ExtCal.STD,ExtCal.STD,ExtCal.RSD,ExtCal.RSD,ExtCal.RSD,ExtCal.StandardConcentration,ExtCal.StandardConcentration,ExtCal.StandardConcentration,StartTime,BrigidMS,BrigidMS,BrigidMS,BrigidMS,BrigidMS,
,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,ExtCal,ExtCal,ExtCal,ExtCal,ExtCal,
,,187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),,Sample Type,Standard,Dilution Factor,Amount,Final Quantity,
,,Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (%),Y (%),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (%),Y (%),Y (%),Y (ng/l),Y (ng/l),,,,,,,
1,S0,259928.46653840927,31.090963272842384,32.181874254663491,5717.1571016791868,5.1808375283684818,2.75928764986598,2.199511726367366,16.663483478795545,8.5740427298640949,256945.22476075386,35.000082400251358,36.000061600113753,274115.60920695716,42.500091000218,30.500046200075435,263297.98274119163,28.500047000093844,28.000041600070716,252981.0558083918,26.000044000099685,36.500065800143119,261791.58010709612,33.500058200116719,33.500058600116247,256689.61334826559,27.00003760006096,28.500042600076085,253594.60745730499,25.000034800058721,33.000058800128159,258679.1832770062,33.000053200099366,33.000058800119042,259687.95248734872,27.500048200097517,33.500051800090318,260461.70212798278,29.500043000070963,31.000055200112,260968.62060020314,34.500056600099114,30.500075800253523,100,-0.18962233125587846,-0.138306841822882,N/A,0.095887949627622648,0.063928307311890933,N/A,50.56785716774592,46.222085957076921,,0,0,2019-02-01T08:46:41.3900435,STD,PtStd0,1,,,
2,S1,257733.78768050514,77.818460255650976,80.954853474060755,7092.4860666493551,10.176689750139202,8.0946648097627243,2.7518650660740773,13.077475083298371,9.998986425633376,258456.98486485513,72.000242400889448,75.000266401097278,270378.1288692056,89.000358001576188,70.500237400927134,264698.29176438716,87.00032960132674,72.500249800951451,251824.66238579751,79.500283801089864,91.500376601670169,267809.70942491607,61.000172800557451,92.000382001710591,259159.27280292063,69.50022820087753,76.000280801201626,250173.7240172204,79.00026800096785,71.500239800911444,250681.90036104471,73.000254801003365,85.000327201338379,251949.97559643607,79.500276601046181,82.500341401777675,254838.60774173628,70.000229200832976,87.000337601463542,255100.40665703715,96.500419401993071,87.000349201619045,99.155660444917146,0.80366011147434724,0.86322399874531353,N/A,0.21664961010677766,0.18078952477041865,N/A,26.957865273333663,20.943523932744483,,1,1,2019-02-01T08:50:02.0095183,STD,PtStd1,1,,,
3,S2,255026.8038912651,271.50307161788072,282.09422858609582,7780.5529020263384,18.431356428097658,11.157804624898796,3.0508765287838946,6.7886364298811124,3.9553466516573583,254386.3561921856,302.00377924885061,275.00317563829424,272785.55491573858,277.50319583798557,282.5033482415202,243203.07226816876,241.00242482521054,266.00292363312258,250748.54174195402,269.50306223615542,295.00361004574569,256365.33887584409,270.00302323498141,291.5035050435684,249747.69700969738,299.50368344638247,266.00294643388634,254932.51195933917,274.50315103795572,294.00359644588576,261395.07757912437,263.00285363194132,276.50319223845963,254532.74389383275,248.50259822850649,297.00366364667445,248263.40813326574,277.50315903690171,277.00323443962225,258934.54023476574,263.50285703181663,282.50331864027447,98.11422630525162,4.9502920339490029,5.0267648021057516,N/A,0.41183494061432707,0.24600365776711264,N/A,8.3194069721537929,4.8938764285144147,,5,5,2019-02-01T08:53:21.6569375,STD,PtStd05,1,,,
4,S3,257099.02131068672,524.32943404712921,538.4663602276064,3740.021328782243,22.285757472179242,15.525586408710137,1.454700725703145,4.2503350041142438,2.8832973711018024,250793.35161767792,514.51089443669264,532.51149285149222,266615.69728519942,495.00997420469986,518.01092383410139,258273.71599719906,539.01182906369536,531.01144665051413,255422.79264470615,510.01072223348075,527.51130564588527,255935.99737615913,546.512086070415,535.0116894605444,257224.35737256805,483.50960359558775,559.01260628648731,255941.91800842286,526.01125024445946,546.512112471424,256514.50912105813,534.51166886009719,514.5108096320896,256404.74621613411,548.512220876951,554.01253949025454,256604.5671160678,551.01255469625119,558.51275769782046,258357.58166236142,519.0109702360927,546.51227848305655,98.911452344791783,10.248143399214554,10.220908969257678,N/A,0.53546090373858135,0.38423380315207772,N/A,5.2249552224222446,3.7592919016084707,,10,10,2019-02-01T08:56:41.5973734,STD,PtStd10,1,,,
5,S4,252902.52452256603,2382.455389710798,2444.8312683593276,7221.5131300181074,47.087011253982432,85.6894482589328,2.8554531607191387,1.9764068388159091,3.5049227882477592,233554.55891670249,2504.75212569839,2667.7854904449014,247319.30341889936,2390.2295629471619,2466.7444173217264,254037.16907471037,2380.2273817981159,2432.2377173442555,253032.10831435869,2365.725818743832,2417.2349953713538,256219.61987822838,2354.7227061520052,2379.2271949695692,258639.37215983268,2352.7223136950192,2376.7268419383995,255156.94301033989,2369.725380509356,2346.2213458013621,255314.81929957803,2322.2165498754894,2404.2322673423491,253061.55964611162,2365.7243367193041,2476.7468817599079,260240.07666832797,2416.2351642455642,2475.74598592478,255352.2393611366,2384.72794643454,2450.2408137339985,97.296970928420777,50.415784658703288,50.09894089746529,N/A,2.4770454807476492,3.2808898781349916,N/A,4.9132340149347176,6.5488208320607129,,50,50,2019-02-01T09:00:01.8388266,STD,PtStd50,1,,,
6,S5,252730.51494507107,4676.195372632319,4839.1212787466893,6434.90128902056,74.259225743273831,74.501058983196856,2.54615129891186,1.5880265862688263,1.5395575909701584,244210.42622691294,4704.3862133569492,4947.481012335089,247180.14720254677,4559.3331803794281,4820.9321907763351,259680.93664737447,4514.8174035882821,4738.40094966578,258666.68664601003,4716.8925962345484,4813.429037988426,250749.69420600316,4698.8855041197694,4896.9629545321932,241168.74312148633,4705.38892443812,4935.4791570717935,255881.94552404154,4640.8639501209836,4702.3865357359427,259578.02567143919,4705.8881024619359,4873.4527942693894,254903.73644045074,4722.3948182945733,4833.9367135458724,250491.17717774786,4718.3925858722241,4838.4384502688436,257524.14553176909,4750.9058200887011,4829.4342700239158,97.230795191770753,99.7717421279147,99.928468174248835,N/A,3.1499681581233343,3.823420180719673,N/A,3.1571746578152795,3.8261571007499469,,100,100,2019-02-01T09:03:22.3382945,STD,PtStd100,1,,,
7,Calib. Control (50 ng/l),251861.64180478503,2282.4371293715285,2355.8145280900076,8788.98607391841,93.086676774144877,78.250040834922,3.4896088228991409,4.0783895239110652,3.3215705184721713,244195.53742672046,2276.7086630471849,2318.7167374169535,231833.53493909966,2019.1643194666322,2167.190095676443,249373.7658002018,2300.7133865416881,2387.2290408840736,248530.07333474164,2334.7188796018622,2428.7370622478293,258660.26638326919,2263.2060368612174,2320.2171064962313,247115.1123843703,2326.7175526351866,2447.2417036940969,254030.69974514056,2334.7191576757937,2395.7301423636018,257545.72758596059,2267.7068967797136,2318.2162178806593,259559.5647828205,2302.2130314053743,2329.7182967620556,258459.45387566029,2370.7254124911651,2382.2282319895648,261174.32359465011,2310.2150865810008,2418.7351735785742,96.896521246382136,48.41593307458453,48.398343440436427,3.3813095544962612,1.4690332576557585,1.6559349704339335,3.4896088228993158,3.0341938373731625,3.4214703494384753,,,,2019-02-01T09:06:43.14578,UNKNOWN,,1,,,
