"System","Cali.User.Selection","Analyt.User.Selection","Chromatography","Report.File","Cali.Default.File","SAA.Menue","FullName","Solids","Method","Element","Analyt","Signal.Name","SAA","Version","QC.Kind","QC.Name","QC.RegEx","Filename","Zielwert","Unsicherheit","LimitBG","Unit.Accept","QC.Norm","Unit.Norm","Datum.Val","Datum.Reval","Datum.Next.Reval","Operator.Reval","BGMethod","Significant.Digits","Alpha","Masse","UseMeans","UseIntCorr","outlier","BG.SAA","QC.Spike"
"eQuant (MS)",0,0,0,"Pt_Gesamt_Report.rmd",,"SAA 2.3.1 Pt-Gesamt","NA",0,"Pt-Gesamt","Pt","195Pt (mp_STD)","195Pt (mp_STD)","2.3.1","1","VBW","VBW","^M.+?QC VBW","SAA_2.3.1_VBW.csv",,,2,"ng/L",,,,,,"Sadlowski","Kaiser","2","0.01",195,1,1,0,1,0
"eQuant (MS)",0,0,0,"Pt_Gesamt_Report.rmd",,"SAA 2.3.1 Pt-Gesamt","NA",0,"Pt-Gesamt","Pt","195Pt (mp_STD)","195Pt (mp_STD)","2.3.1","1","QC","MM2_QC","^M.+?QC MM2","SAA_2.3.1_MM2_QC.csv",100,30,,"%",50,"ng/L",,,,"Sadlowski","Kaiser","2","0.01",195,1,1,0,1,0
"eQuant (MS)",0,0,0,"Pt_Gesamt_Report.rmd",,"SAA 2.3.1 Pt-Gesamt","NA",0,"Pt-Gesamt","Pt","195Pt (mp_STD)","195Pt (mp_STD)","2.3.1","1","QC","MM3_QC","^M.+?QC MM3","SAA_2.3.1_MM3_QC.csv",100,26.37,,"%",5000,"ng/L",,,,"Sadlowski","Kaiser","2","0.01",195,1,1,0,1,0
"tQuant (MS)",1,0,1,"Pt_Spezies_Report.rmd","SAA_2.3.2_Calibration.csv","SAA 2.3.2 Pt-Spezies",,0,"Pt-Spezies","Pt","Cis-Platin","195Pt (mp_STD)","2.3.2","3","VBW","CisPt_VBW","^M.+?QC VBW","SAA_2.3.2_CisPt_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","SN","2","0.01",195,0,0,0,1,0
"tQuant (MS)",1,0,1,"Pt_Spezies_Report.rmd","SAA_2.3.2_Calibration.csv","SAA 2.3.2 Pt-Spezies",,0,"Pt-Spezies","Pt","Carbo-Platin","195Pt (mp_STD)","2.3.2","3","VBW","CarboPt_VBW","^M.+?QC VBW","SAA_2.3.2_CarboPt_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","SN","2","0.01",195,0,0,0,1,0
"tQuant (MS)",1,0,1,"Pt_Spezies_Report.rmd","SAA_2.3.2_Calibration.csv","SAA 2.3.2 Pt-Spezies",,0,"Pt-Spezies","Pt","Oxali-Platin","195Pt (mp_STD)","2.3.2","3","VBW","OxaliPt_VBW","^M.+?QC VBW","SAA_2.3.2_OxaliPt_VBW.csv",,,0.1,"µg/L",,,,,,"Sadlowski","SN","2","0.01",195,0,0,0,1,0
"tQuant (MS)",1,0,1,"Pt_Spezies_Report.rmd","SAA_2.3.2_Calibration.csv","SAA 2.3.2 Pt-Spezies",,0,"Pt-Spezies","Pt","Cis-Platin","195Pt (mp_STD)","2.3.2","3","QC","CisPt_QC","^M.+?QC MM3","SAA_2.3.2_CisPt_QC.csv",89.8,34.1,,"%",5,"µg/L",,,,"Sadlowski","SN","2","0.01",195,0,0,0,1,0
"tQuant (MS)",1,0,1,"Pt_Spezies_Report.rmd","SAA_2.3.2_Calibration.csv","SAA 2.3.2 Pt-Spezies",,0,"Pt-Spezies","Pt","Carbo-Platin","195Pt (mp_STD)","2.3.2","3","QC","CarboPt_QC","^M.+?QC MM3","SAA_2.3.2_CarboPt_QC.csv",94.1,33.2,,"%",5,"µg/L",,,,"Sadlowski","SN","2","0.01",195,0,0,0,1,0
"tQuant (MS)",1,0,1,"Pt_Spezies_Report.rmd","SAA_2.3.2_Calibration.csv","SAA 2.3.2 Pt-Spezies",,0,"Pt-Spezies","Pt","Oxali-Platin","195Pt (mp_STD)","2.3.2","3","QC","OxaliPt_QC","^M.+?QC MM3","SAA_2.3.2_OxaliPt_QC.csv",84.9,34.5,,"%",5,"µg/L",,,,"Sadlowski","SN","2","0.01",195,0,0,0,1,0
"tQuant (MS)",1,0,1,"Br_BrO3_Report.rmd","SAA_1.4.3_Calibration.csv","SAA 1.4.3 Bromat/Bromid",,0,"Bromat/Bromid","Br","Bromat","79Br (sa-3V-H2)","1.4.3","1","VBW","Bromat VBW","^QC VBW","SAA_1.4.3_Bromat VBW.csv",,,1,"µg/L",,,,,,"Sadlowski","SN","2","0.01",81,0,0,0,1,1
