"Labels","StartTime","Concentration","WFR","Defined"
"M 190704/32 QC MM2.1 ",2019-07-04 13:34:08,44.7369142635663,89.4738285271326,50
"M 190612/12 QC MM2.1 ",2019-06-13 11:06:14,45.7447627506426,91.4895255012852,50
"M 190606/02 QC MM2.1 ",2019-06-06 11:40:59,48.7492135522723,97.4984271045446,50
"M 190515/81 QC MM2.1 ",2019-05-15 13:48:12,24.5558151010744,98.2232604042977,25
"M 190509/36 QC MM2.1 ",2019-05-09 11:59:37,47.8381099543091,95.6762199086182,50
"M 190502/07 QC MM2.1 v. 02.05.19",2019-05-06 12:19:57,49.2398811111739,98.4797622223478,50
"M 190502/03 QC MM2.2 v. 23.04.19",2019-05-06 12:09:17,48.926125,97.85225,50
"M 190411/02 QC MM2.1",2019-04-11 12:38:37,47.7190164330312,95.4380328660623,50
"M 190328/07 QC MM2.1",2019-03-29 10:54:53,43.7030098233486,87.4060196466971,50
"M 190328/02 QC MM2.1",2019-03-28 15:16:48,44.1109906451601,88.2219812903202,50
"M 190314/02 QC MM2.1",2019-03-15 09:02:40,46.7377956704363,93.4755913408726,50
"M 190307/03 QC MM2.2",2019-03-07 11:41:54,41.9674569603808,83.9349139207616,50
"M 190307/02 QC MM2.1",2019-03-07 11:38:37,41.2617443809677,82.5234887619355,50
"M 190228/05 QC MM2.1",2019-03-01 11:03:49,46.9780218389977,93.9560436779954,50
"M 190228/03 QC MM2.2",2019-02-28 13:42:15,44.2425962031576,88.4851924063152,50
"M 190221/02 QC MM2.1",2019-02-21 12:26:03,44.4321971743883,88.8643943487766,50
"M 190208/04 QC MM2.1",2019-02-12 12:11:02,44.5489324876205,89.097864975241,50
"M 190131/29 QC MM2.1",2019-02-01 09:26:50,48.0325817912381,96.0651635824761,50
"M 190117/05 QC MM2.2",2019-01-18 09:32:40,44.8908899548095,89.7817799096191,50
"M 190103/03 QC MM2.2",2019-01-03 11:04:25,42.3070916375958,84.6141832751915,50
"M 181220/103 QC MM2.1",2018-12-20 14:34:24,51.0925811748821,102.185162349764,50
"M 181213/41 QC MM2.2",2018-12-14 11:01:42,44.4697695208179,88.9395390416357,50
"M 181206/005 QC MM2.1",2018-12-10 11:30:07,44.8880941004253,89.7761882008506,50
"M 181206/005 QC MM2.1",2018-12-07 10:53:00,44.2788049337623,88.5576098675246,50
"M 181129/151 QC MM2.2",2018-11-30 10:06:33,43.7845288352776,87.5690576705552,50
"M 181122/02 QC MM2.1",2018-11-22 15:39:17,47.5951028453777,95.1902056907553,50
"M 181115/30 QC MM2.1",2018-11-15 16:03:17,46.2639148147148,92.5278296294297,50
