"Labels","StartTime","Intensity","Concentration"
"M 190718/01 QC VBW",2019-07-18 13:53:51,33.3638069101047,0.542597883628008
"M 190704/31 QC VBW ",2019-07-04 12:17:01,114.273718192575,1.66998537594152
"M 190612/11 QC VBW ",2019-06-13 11:03:12,153.183375655789,1.06197416509218
"M 190606/01 QC VBW ",2019-06-06 11:37:57,252.114781843338,3.29639119676067
"M 190515/80 QC VBW ",2019-05-15 13:44:23,67.5275089755273,0.41299308785979
"M 190515/79 QC VBW ",2019-05-15 13:40:34,66.8366062556091,0.40177699438361
"M 190509/35 QC VBW ",2019-05-09 11:56:03,57.5557401962691,0.254587386520486
"M 190502/04 QC VBW v. 02.05.19",2019-05-06 12:02:08,48.4890194848632,0.2486854766628
"M 190502/01 QC VBW v. 23.04.19",2019-05-06 11:58:34,38.1455445820835,0.123215866415897
"M 190411/01 QC VBW",2019-04-11 12:35:03,194,2.633
"M 190328/04 QC VBW",2019-03-29 10:51:19,55,0.203
"M 190328/01 QC VBW",2019-03-28 15:09:39,34,0.156
"M 190314/01 QC VBW",2019-03-15 08:59:23,41,0.462
"M 190307/01 QC VBW",2019-03-07 11:35:21,63,0.614
"M 190228/04 QC VBW",2019-03-01 11:00:37,34,0.456
"M 190228/01 QC VBW",2019-02-28 13:34:51,39,0.159
"M 190221/01 QC VBW",2019-02-21 12:22:21,45,0.764
"M 190220/01 QC VBW",2019-02-21 10:17:01,19,0.144
"M 190208/01 QC VBW",2019-02-12 12:00:57,49,0.823
"M 190131/26 QC VBW",2019-02-01 09:16:45,49,0.352
"M 190117/01 QC VBW",2019-01-18 09:19:12,54,0.619
"M 190103/01 QC VBW",2019-01-03 10:57:42,34,-0.015
"M 181220/102 QC VBW",2018-12-20 14:31:03,185,3.426
"M 181213/37 QC VBW",2018-12-14 10:48:15,57,0.803
"M 181206/002 QC VBW",2018-12-10 11:26:46,30,0.32
"M 181206/002 QC VBW",2018-12-07 10:42:55,32,0.319
"M 181129/149 QC VBW",2018-11-30 10:01:03,25,0.303
"M 181122/01 QC VBW",2018-11-22 15:34:15,41,0.211
"M 181115/29 QC VBW",2018-11-15 16:00:11,84,1.538
