"Labels","StartTime","Concentration","WFR","Defined"
"M 190502/06 QC MM3.2",2019-05-02 11:22:28,4.97603956758887,99.5207913517773,"5.0"
"M 190328/05 QC MM3.1",2019-03-28 12:43:36,4.93025874959053,98.6051749918105,"5.0"
"M 190208/03 QC MM3.2",2019-02-11 09:39:03,4.91996844554936,98.3993689109872,"5.0"
"M 190131/28 QC MM3.2",2019-01-31 14:33:27,4.88995793265836,97.7991586531673,"5.0"
"M 190117/03 QC MM3.2",2019-01-17 15:05:35,4.58634264288124,91.7268528576249,"5.0"
"M 181213/39 QC MM3.2",2018-12-13 12:56:38,5.01832888484409,100.366577696882,"5.0"
"M 181206/04 QC MM3.2",2018-12-06 11:13:42,5.11659547603776,102.331909520755,"5.0"
"M 181122/04 QC MM3.1",2018-11-22 11:54:06,4.88143512312655,97.6287024625309,"5.0"
"M 181031/21 QC MM3.2",2018-10-31 13:18:44,4.72017560805046,94.4035121610091,"5.0"
"M 181018/14 QC MM3 5.1",2018-10-18 13:22:16,5.26930012942486,105.386002588497,"5.0"
"M181004/07 QC MM3 5.2",2018-10-04 13:41:54,4.96253572566602,99.2507145133203,"5.0"
"M 180809/25 QC QC MM3 5.1 Oxali",2018-08-09 13:08:31,5.35215300811295,107.043060162259,"5.0"
"M180629/02 QC MM3 5.1",2018-06-29 11:36:32,5.15120297725353,103.024059545071,"5.0"
"M180614/04 QC MM3 5.2",2018-06-14 11:53:03,5.0881474351087,101.762948702174,"5.0"
"M180606/15 QC MM3 5.2",2018-06-06 13:40:57,5.05509561094171,101.101912218834,"5.0"
"M180518/02 QC MM3 5.1",2018-05-18 13:18:32,5.00175514801807,100.035102960361,"5.0"
"M QC MM3 5.2",2018-05-03 12:29:17,4.67841331594606,93.5682663189213,"5.0"
"M QC MM3 5.1",2018-04-25 12:59:37,46.5251107853984,93.0502215707968,"50"
"M QC MM3 5.2",2018-04-13 13:31:11,5.45534919382611,109.106983876522,"5.0"
"M QC MM3 5.2",2018-04-05 14:37:11,53.0029068983078,106.005813796616,"50"
