"Labels","StartTime","Concentration","WFR","Defined"
"M 190502/05 QC MM3.1",2019-05-02 11:11:51,3.96642605548299,79.3285211096598,"5.0"
"M 190328/06 QC MM3.2",2019-03-28 12:54:15,4.46406514252203,89.2813028504405,"5.0"
"M 190208/02 QC MM3.1",2019-02-11 09:28:35,3.37077293468561,67.4154586937122,"5.0"
"M 190131/28 QC MM3.2",2019-01-31 14:33:27,4.77129928123138,95.4259856246277,"5.0"
"M 190117/03 QC MM3.2",2019-01-17 15:05:35,4.45998914049747,89.1997828099493,"5.0"
"M 181213/39 QC MM3.2",2018-12-13 12:56:38,4.57383496548565,91.4766993097129,"5.0"
"M 181206/04 QC MM3.2",2018-12-06 11:13:42,4.72333318372139,94.4666636744278,"5.0"
"M 181122/05 QC MM3.2",2018-11-22 12:04:36,4.96814864130086,99.3629728260172,"5.0"
"M 181031/21 QC MM3.2",2018-10-31 13:18:44,3.48666216913141,69.7332433826282,"5.0"
"M 181018/15 QC MM3 5.2",2018-10-18 13:32:49,4.36502264825814,87.3004529651627,"5.0"
"M181004/07 QC MM3 5.2",2018-10-04 13:41:54,4.52107611322803,90.4215222645606,"5.0"
"M 180809/25 QC QC MM3 5.1 Oxali",2018-08-09 13:08:31,3.78941682488248,75.7883364976497,"5.0"
"M180629/03 QC MM3 5.2",2018-06-29 11:46:57,3.98018681448509,79.6037362897018,"5.0"
"M180614/03 QC MM3 5.1",2018-06-14 11:42:28,4.53241956701298,90.6483913402596,"5.0"
"M180606/14 QC MM3 5.1",2018-06-06 13:30:20,4.96875458116177,99.3750916232354,"5.0"
"M180518/03 QC MM3 5.2",2018-05-18 13:29:09,5.42638292056141,108.527658411228,"5.0"
"M QC MM3 5.1",2018-05-03 12:18:39,4.07446938152758,81.4893876305516,"5.0"
"M QC MM3 5.1",2018-04-25 12:59:37,36.9319562225149,73.8639124450299,"50"
"M QC MM3 5.1",2018-04-13 13:20:43,4.6574218815196,93.148437630392,"5.0"
"M QC MM3 5.1",2018-04-05 14:26:43,42.9842048048469,85.9684096096938,"50"
