"Labels","StartTime","Concentration","WFR","Defined"
"M 190502/05 QC MM3.1 v. 02.05.19",2019-05-06 12:12:53,5121.3911146812,62.3343611816114,"8216"
"M 190328/06 QC MM3.2",2019-03-28 15:27:33,4404.9280589031,53.6140221385479,"8216"
"M 190220/02 QC MM3.1",2019-02-21 10:20:42,4272.69148943042,52.0045215363975,"8216"
"M 190208/02 QC MM3.1",2019-02-12 12:04:18,4683.10094983615,56.9997681333514,"8216"
"M 190131/27 QC MM3.1",2019-02-01 09:20:06,4504.41922327243,54.8249662034132,"8216"
"M 190117/03 QC MM3.2",2019-01-18 09:25:55,5065.79363940591,61.6576635760213,"8216"
"M 181213/38 QC MM3.1",2018-12-14 10:51:37,4832.68773563065,58.8204446887859,"8216"
"M 181206/003 QC MM3.1",2018-12-07 10:46:17,4755.82477963681,57.884916986816,"8216"
"M 181122/04 QC MM3.1",2018-11-22 15:49:21,4980.92726724666,60.6247233111814,"8216"
"M 181115/32 QC MM3.1",2018-11-15 16:09:01,5070.41282384842,61.7138853925075,"8216"
"M 181031/21 QC MM3.2",2018-11-07 10:06:46,4429.08234266906,53.9080129341414,"8216"
"M 181031/21 QC MM3.2",2018-11-06 15:18:19,4778.38991073763,58.1595656126781,"8216"
"M 181018/15 QC MM3 5.2",2018-10-18 16:47:33,4621.05411850288,56.2445730100156,"8216"
"M 181004/06 QC MM3 5.1",2018-10-04 16:29:54,5222.34786407903,63.5631434284205,"8216"
"M 180629/02 QC MM3 5.1 Spezies",2018-06-29 14:46:21,4201.07957105514,51.1329061715572,"8216"
"M 180614/03 QC MM3 5.1 Spezies",2018-06-15 09:51:34,4422.78886894412,53.8314127184046,"8216"
"M 180606/15 QC MM3 5.2 Spezies",2018-06-08 10:49:21,4601.60691608252,56.0078738568953,"8216"
"M 180518/02 QC MM3 5.1",2018-05-23 09:44:07,3785.06982644909,46.0694964270824,"8216"
"M 180503/25 QC MM3 5.2",2018-05-04 13:59:42,2770.80241277045,33.7244694835741,"8216"
"M 180425/X5 QC MM3 Spezies1",2018-04-25 19:15:16,5659.46504409733,68.883459640912,"8216"
"M QC MM3.2",2018-04-16 12:22:38,4609.03752214251,56.0983145343539,"8216"
"M QC MM3.2",2018-04-05 16:58:22,5797.08072875638,70.5584314600338,"8216"
