"Labels","StartTime","Intensity","Concentration"
"M 190502/04 QC VBW v. 02.05.19",2019-05-06 12:02:08,48.4890194848632,0.2486854766628
"M 190502/01 QC VBW v. 23.04.19",2019-05-06 11:58:34,38.1455445820835,0.123215866415897
"M 190411/01 QC VBW",2019-04-11 12:35:03,194,2.633
"M 190328/04 QC VBW",2019-03-29 10:51:19,55,0.203
"M 190328/01 QC VBW",2019-03-28 15:09:39,34,0.156
"M 190314/01 QC VBW",2019-03-15 08:59:23,41,0.462
"M 190307/01 QC VBW",2019-03-07 11:35:21,63,0.614
"M 190228/04 QC VBW",2019-03-01 11:00:37,34,0.456
"M 190228/01 QC VBW",2019-02-28 13:34:51,39,0.159
"M 190221/01 QC VBW",2019-02-21 12:22:21,45,0.764
"M 190220/01 QC VBW",2019-02-21 10:17:01,19,0.144
"M 190208/01 QC VBW",2019-02-12 12:00:57,49,0.823
"M 190131/26 QC VBW",2019-02-01 09:16:45,49,0.352
"M 190117/01 QC VBW",2019-01-18 09:19:12,54,0.619
"M 190103/01 QC VBW",2019-01-03 10:57:42,34,-0.015
"M 181220/102 QC VBW",2018-12-20 14:31:03,185,3.426
"M 181213/37 QC VBW",2018-12-14 10:48:15,57,0.803
"M 181206/002 QC VBW",2018-12-10 11:26:46,30,0.32
"M 181206/002 QC VBW",2018-12-07 10:42:55,32,0.319
"M 181129/149 QC VBW",2018-11-30 10:01:03,25,0.303
"M 181122/01 QC VBW",2018-11-22 15:34:15,41,0.211
"M 181115/29 QC VBW",2018-11-15 16:00:11,84,1.538
"M 181031/19 QC VBW",2018-11-07 10:00:48,46,0.453
"M 181031/19 QC VBW",2018-11-06 15:12:21,29,0.295
"M 181018/13 QC VBW",2018-10-18 16:41:50,65,0.246
"M 181011/69 QC VBW",2018-10-11 15:36:55,72,0.212
"M181004/08 QC VBW",2018-10-04 16:21:19,410,0.087
"M 180921/01 QC VBW",2018-09-21 12:37:39,139,1.424
"M 180907/07 QC VBW",2018-09-07 13:11:13,380,4.964
"M 180822/01 QC VBW",2018-08-22 16:36:35,129,0.796
"M 180809/21 QC VBW",2018-08-09 16:24:53,73,0.424
"M 180802/12 QC VBW",2018-08-02 18:35:00,190,-0.085
"M180725/01 QC VBW",2018-07-27 08:34:59,254,1.283
"M180713/36 QC VBW",2018-07-13 13:08:24,68,0.436
"M180629/01 QC VBW",2018-06-29 14:43:29,138,0.886
"M180628/06 QC VBW",2018-06-28 15:29:41,227,1.528
"M180614/02 QC VBW",2018-06-15 09:49:02,251,1.865
"M180606/13 QC VBW",2018-06-08 10:44:18,915,6.377
"M180530/06 QC VBW",2018-05-30 12:53:30,351,2.439
"M180518/01 QC VBW",2018-05-23 09:33:59,371,1.357
"M 180507/15 QC VBW",2018-05-11 18:50:06,269,1.74
"M 180503/21 QC VBW",2018-05-04 13:49:46,195,1.215
"M 180425/X1 QC VBW",2018-04-25 19:03:11,129,1.381
"M QC VBW",2018-04-16 12:17:36,195,1.031
"M QC VBW",2018-04-05 16:48:16,275,2.35
"M QC VBW",2018-03-28 12:46:17,142,-0.167
"M QC VBW",2018-03-02 16:58:29,79,-0.081
