"Labels","StartTime","Intensity","Concentration"
"M 190502/04 QC VBW",2019-05-02 11:01:13,0,0.005
"M 190328/04 QC VBW",2019-03-28 12:33:11,0,0.003
"M 190208/01 QC VBW",2019-02-11 09:18:07,0,-0.003
"M 190131/26 QC VBW",2019-01-31 14:12:37,0,0
"M 190117/01 QC VBW",2019-01-17 14:44:40,0,0.001
"M 181213/37 QC VBW",2018-12-13 12:35:39,0,0.001
"M 181206/02 QC VBW",2018-12-06 10:52:46,0,0.005
"M 181122/01 QC VBW",2018-11-22 11:44:01,0,0.002
"M 181031/19 QC VBW",2018-10-31 12:57:40,0,0.001
"M 181018/13 QC VBW",2018-10-18 13:11:41,0,0.001
"M 181011/69 QC VBW",2018-10-11 12:06:14,0,0.014
"M181004/08 QC VBW",2018-10-04 13:20:50,0,0.003
"M 180809/24 QC VBW",2018-08-09 12:57:53,62.416043106098,0.012
"M180629/01 QC VBW",2018-06-29 11:26:06,30.9869302929343,0
"M180614/02 QC VBW",2018-06-14 11:31:52,50.0061336864848,0.002
"M180606/13 QC VBW",2018-06-06 13:19:42,40.4784006385718,0.001
"M180518/01 QC VBW",2018-05-18 13:08:08,18.6812023084531,0.003
"M QC VBW",2018-05-03 12:08:14,30.4457051006146,0.003
"M QC VBW",2018-04-25 12:49:13,41.8542210977382,0.007
"M QC VBW",2018-04-13 13:10:14,49.9314727181164,0.003
"M QC VBW",2018-04-05 14:16:15,51.4086134647788,0.004
