"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M LR-20240816-3  QC MM2 vom 15.8","2024-08-21 15:20:52","38.0379256891596","76.0758513783191","50","","","","0"
"M LR-20240807-7  QC MM2 vom 06.08","2024-08-21 15:12:57","37.6772394191882","75.3544788383765","50","","","","0"
"M LR-20240807-5  QC MM2  vom 26.07","2024-08-21 15:05:02","41.9273630728693","83.8547261457386","50","","","","0"
"M LR-20240807-3  QC MM2  vom 19.7","2024-08-21 14:57:09","39.7735577960138","79.5471155920276","50","","","","0"
"M LR-20240816-3  QC MM2 vom 15.8","2024-08-16 14:13:22","39.1549785788333","78.3099571576666","50","","","","0"
"M LR-20240807-7  QC MM2 vom 06.08","2024-08-16 14:05:27","36.2921598166922","72.5843196333844","50","","","","0"
"M LR-20240807-3  QC MM2  vom 19.7","2024-08-16 13:57:33","38.6011125195632","77.2022250391264","50","","","","0"
"M LR-20240731-2764  QC MM2 vom 30.07","2024-08-12 12:50:54","36.6725869783673","73.3451739567346","50","","","","0"
"M LR-20240807-5  QC MM2 vom 26.07.","2024-08-12 12:39:00","36.7911987819785","73.582397563957","50","26.07","2024-08-12","Fassbender","0"
"M LR-20240807-7  QC MM2 ","2024-08-07 10:55:35","40.0184234520061","80.0368469040123","50","06.08","2024-08-08","Fassbender","0"
"M LR-20240807-5  QC MM2 ","2024-08-07 10:35:33","24.8747884203173","49.7495768406346","50","26.07","2024-08-08","Fassbender","0"
"M LR-20240807-3  QC MM2 ","2024-08-07 10:27:38","40.2570826920511","80.5141653841022","50","19 07","2024-08-08","Fassbender","0"
"M LR-20240731-2764  QC MM2 ","2024-07-31 16:45:39","0.578013635115674","1.15602727023135","50","","","","0"
"M LR-20240731-2763 QC MM2","2024-07-31 16:41:43","34.4175958270616","68.8351916541231","50","","","","0"
"M LR-20240717-11  QC MM2 ","2024-07-17 10:46:40","56.6867848733119","113.373569746624","50","","","","0"
"M LR-20240624-48  QC MM2 21.06","2024-07-08 15:12:34","46.3953534226914","92.7907068453827","50","","","","0"
"M LR-20240624-47  QC MM2 11.06","2024-07-08 15:08:35","46.9037490500402","93.8074981000804","50","","","","0"
"M LR-20240625-16  QC MM2 11.06","2024-06-25 10:57:06","44.123057870731","88.2461157414619","50","","","","0"
"M LR-20240624-48  QC MM2 21.06","2024-06-24 14:57:17","4160.58760801506","8321.17521603012","50","","","","0"
"M LR-20240624-47  QC MM2 11.06","2024-06-24 14:53:18","45.4406044981075","90.8812089962151","50","","","","0"
"M LR-20240604-4 QC MM2 07.05","2024-06-04 13:53:01","45.0609041533662","90.1218083067323","50","","","","0"
"M LR-20240604-5  QC MM2 29.5","2024-06-04 12:09:39","47.6075954807204","95.2151909614408","50","","","","0"
"M LR-20240424-12  QC MM2","2024-04-24 16:50:34","43.4846666966914","86.9693333933829","50","","","","0"
"M LR-20240424-9  QC MM2","2024-04-24 16:42:41","40.2947827251025","80.5895654502049","50","","","","0"
"M LR-20240424-7  QC MM2","2024-04-24 16:34:45","43.3793384589502","86.7586769179005","50","","","","0"
"M LR-20240327-3  QC MM2","2024-03-27 13:00:04","41.2283538893976","82.4567077787952","50","Fli","2024-03-27","Fassbender","0"
"M LR-20240327-3  QC MM2","2024-03-27 10:18:01","46.280251901103","92.5605038022059","50","","","","0"
"M LR-20240312-67 QC MM2","2024-03-13 12:15:42","45.8062739526173","91.6125479052345","50","","","","0"
"M LR-20240308-21 QC MM2","2024-03-11 14:11:12","39.5378996728617","79.0757993457234","50","Kali","2024-03-11","Schützmann","0"
"M LR-20240308-20 QC MM2","2024-03-11 14:07:16","43.0761905519713","86.1523811039426","50","","","","0"
"M LR-20240305-14 QC MM2","2024-03-07 12:50:22","43.1272526987063","86.2545053974125","50","lll","2024-03-11","Schützmann","0"
"M LR-20240305-13 QC MM2","2024-03-07 12:46:24","42.1189924540663","84.2379849081325","50","ll","2024-03-11","Schützmann","0"
"M LR-20240305-12 QC MM2","2024-03-07 12:42:26","44.3995462057122","88.7990924114244","50","l","2024-03-11","Schützmann","0"
"M LR-20240305-7 QC MM2","2024-03-07 12:10:50","42.6264017381879","85.2528034763759","50","","","","0"
"M LR-20240305-14 QC MM2","2024-03-05 19:49:00","29.7596368530045","59.519273706009","50","lll","2024-03-13","Schützmann","0"
"M LR-20240305-13 QC MM2","2024-03-05 19:45:01","30.0725033226017","60.1450066452034","50","ll","2024-03-13","Schützmann","0"
"M LR-20240305-12 QC MM2","2024-03-05 19:41:03","29.5472221212634","59.0944442425269","50","l","2024-03-13","Schützmann","0"
"M LR-20240305-7 QC MM2","2024-03-05 11:25:13","30.9710820944243","61.9421641888487","50","","","","0"
"M LR-20240305-7 QC MM2","2024-03-05 11:17:15","30.6124253961049","61.2248507922097","50","","","","0"
"M LR-20240213-492 QC MM2","2024-02-13 11:31:07","39.4683757740381","78.9367515480763","50","","","","0"
"M LR-20231023-3 QC MM2","2023-10-23 18:31:07","38.6629956983233","77.3259913966466","50","","","","0"
"M LR-20231023-3 QC MM2","2023-10-23 18:27:08","51.3075754976377","102.615150995275","50","","","","0"
"M LR-20231023-3 QC MM2","2023-10-23 18:23:10","38.2484794063502","76.4969588127004","50","","","","0"
"M LR-20231023-14 QC MM2","2023-10-23 16:00:17","45.087795330171","90.175590660342","50","","","","0"
"M LR-20231023-3 QC MM2","2023-10-23 10:38:24","43.2288807836912","86.4577615673823","50","","","","0"
"M LR-20230905-29 QC MM2","2023-10-20 10:14:29","40.1235090799022","80.2470181598043","50","","","","0"
"M LR-20230727-88 QC MM2","2023-08-03 15:27:00","37.1252385515116","74.2504771030232","50","","","","0"
"M LR-20230724-2993 QC MM2","2023-07-25 10:44:13","48.6198362302245","97.2396724604489","50","","","","0"
"M LR-20230710-15 QC MM2","2023-07-25 10:16:32","45.5116107538239","91.0232215076479","50","","","","0"
"M LR-20230621-3 QC MM2","2023-07-06 12:04:15","38.0531315794752","76.1062631589505","50","","","","0"
"M LR20230703-4 QC MM2","2023-06-29 19:02:27","36.4705390937309","72.9410781874618","50","","","","0"
"M LR-20230522-91 QC MM2","2023-05-23 11:19:49","43.2772207754983","86.5544415509966","50","","","","0"
"M LR-20230522-89 QC MM2","2023-05-23 11:03:57","41.0180282817347","82.0360565634693","50","","","","0"
"M LR-20230421-29 QC MM2","2023-04-24 17:38:55","44.3757985506598","88.7515971013196","50","","","","0"
"M LR-20230421-27 QC MM2","2023-04-24 12:32:17","42.3003841356972","84.6007682713944","50","","","","0"
"M LR-20230406-21 QC MM2","2023-04-13 12:43:40","39.8653723745815","79.730744749163","50","","","","0"
"M LR-20230406-13 QC MM2","2023-04-13 10:13:10","39.5683944891378","79.1367889782756","50","","","","0"
"M LR-20230327-3 QC MM2","2023-03-28 12:11:06","43.6536348880196","87.3072697760391","50","","","","0"
"M LR-20230317-94 QC MM2","2023-03-21 15:36:30","56.1177768993263","112.235553798653","50","","","","0"
"M LR-20230314-25 QC MM2","2023-03-21 09:43:41","58.7772428873787","117.554485774757","50","","","","0"
"M LR-20230308-36 QC MM2","2023-03-10 10:49:53","46.1131304023639","92.2262608047279","50","","","","0"
"M LR-20230308-36 QC MM2","2023-03-09 12:04:12","33.7751634080515","67.550326816103","50","","","","0"
"M 230224/017 QC MM2","2023-03-07 12:46:30","43.3174520169856","86.6349040339713","50","","","","0"
"M 230224/014 QC MM2","2023-03-07 10:14:26","42.7662561449934","85.5325122899868","50","","","","0"
"M 220210/007 QC MM2","2023-02-15 14:56:05","46.0343038926805","92.0686077853609","50","","","","0"
"M 230203/058 QC MM2","2023-02-06 15:45:02","40.7670581088135","81.534116217627","50","l","2023-02-14","Schützmann","0"
"M 230203/052 QC MM2","2023-02-06 11:58:13","41.0060591431274","82.0121182862547","50","","","","0"
"M 230203/055 QC MM2","2023-02-06 11:28:55","43.5402582456259","87.0805164912518","50","","","","0"
"M 230117/002 QC MM2","2023-01-17 12:02:52","45.4106647960231","90.8213295920462","50","","","","0"
"M 230104/005 QC MM2","2023-01-04 14:26:35","45.5691171089409","91.1382342178817","50","","","","0"
"M 230104/002 QC MM2","2023-01-04 14:02:53","52.8698429080328","105.739685816066","50","","","","0"
"M 230103/002 QC MM2","2023-01-03 14:53:07","38.9924776140814","77.9849552281629","50","","","","0"
"M 221206/040 QC MM2","2023-01-02 12:29:02","44.7964990258852","89.5929980517704","50","","","","0"
"M 221128/002 QC MM2","2022-12-06 14:51:40","45.1310086102142","90.2620172204284","50","","","","0"
"M 221206/008 QC MM2","2022-12-06 14:39:44","39.350432616924","78.700865233848","50","","","","0"
"M 221128/002 QC MM2","2022-11-28 13:55:41","48.1493076622166","96.2986153244331","50","","","","0"
"M 221117/019 QC MM2","2022-11-17 12:11:57","43.0993898054204","86.1987796108409","50","","","","0"
"M 221117/017 QC MM2","2022-11-17 11:24:23","45.1478410762311","90.2956821524623","50","","","","0"
"M 221102/002 QC MM2","2022-10-31 17:47:03","45.6759428356537","91.3518856713073","50","","","","0"
"M 220902/002 QC MM2","2022-09-05 14:34:57","45.5970764180245","91.194152836049","50","v. 30.08.2022","2022-09-07","Schützmann","0"
"M 220810/002 QC MM2","2022-08-10 15:43:53","49.8202538858603","99.6405077717207","50","v. 02.08.2022 CA","2022-08-11","Schützmann","0"
"M 220802/002 QC MM2","2022-08-03 16:53:29","44.6897200649151","89.3794401298302","50","","","","0"
"M 220711/002 QC MM2","2022-07-21 17:49:31","44.1255439736057","88.2510879472114","50","21.07.2022","2022-07-22","Schützmann","0"
"M 220714/002 QC MM2","2022-07-21 14:59:21","38.5487911894056","77.0975823788112","50","12.07.2022 alt","2022-07-22","Schützmann","0"
"M 220714/002 QC MM2","2022-07-21 14:55:22","38.7743993957028","77.5487987914055","50","12.07.2022 neu","2022-07-22","Schützmann","0"
"M 220711/002 QC MM2","2022-07-21 11:53:47","84.5067162556628","169.013432511326","50","07.07.2022","2022-07-22","Schützmann","0"
"M 220704/002 QC MM2","2022-07-05 10:49:52","49.6146450328922","99.2292900657843","50","28.06.2022","2022-07-06","Schützmann","0"
"M 220628/005 QC MM2","2022-06-28 12:39:24","42.9262641703675","85.8525283407349","50","22.06.2022","2022-06-29","Schützmann","0"
"M 220620/005 QC MM2","2022-06-21 12:57:54","43.2820096789491","86.5640193578983","50","","","","0"
"M 220601/002 QC MM2","2022-06-01 16:01:56","41.153415115045","82.30683023009","50","","","","0"
"M 220601/002 QC MM2","2022-06-01 13:58:15","44.5956411474476","89.1912822948953","50","","","","0"
"M 220601/002 QC MM2","2022-06-01 13:06:51","43.4284508624074","86.8569017248149","50","","","","0"
"M 220505/009 QC MM2","2022-05-09 12:42:56","43.1514998154463","86.3029996308925","50","","","","0"
"M 220405/002 QC MM2","2022-04-29 11:50:02","46.3981983992475","92.796396798495","50","QC50 05.04.22","2022-04-29","Schützmann","0"
"M 220425/002 QC MM2","2022-04-25 13:41:16","43.3499452794622","86.6998905589244","50","22.04.2022 QC50","2022-04-29","Schützmann","0"
"M 220405/002 QC MM2","2022-04-07 13:02:32","42.7150284492002","85.4300568984004","50","05.04.2022 QC50","2022-04-11","Schützmann","0"
"M 220307/180 QC MM2","2022-03-16 13:26:19","39.9511444640784","79.9022889281568","50","01.03.2022 QC50","2022-03-17","Schützmann","0"
"M 220307/180 QC MM2","2022-03-16 12:11:15","38.7500751080435","77.500150216087","50","28.02.2022 QC50","2022-03-17","Schützmann","0"
"M 220307/180 QC MM2","2022-03-08 13:56:32","46.1498493349617","92.2996986699233","50","07.03.2022 QC50","2022-03-10","Schützmann","0"
"M 220221/02 QC MM2","2022-02-23 14:18:21","44.7098890185321","89.4197780370641","50","21.02.2022 QC50","2022-02-24","Fassbender","0"
"M 220211/013 QC MM2","2022-02-14 12:18:21","50.3222903430296","100.644580686059","50","11.02.2022 QC50","2022-02-17","Schützmann","0"
"M 220210/005 QC MM2","2022-02-10 14:35:24","45.8066917148151","91.6133834296302","50","03.02.2022 QC50","2022-02-17","Schützmann","0"
"M 220127/002 QC MM2","2022-02-10 12:52:28","40.5891994256097","81.1783988512194","50","27.01.2022 QC50","2022-02-17","Schützmann","0"
"M 220119/005 QC MM2","2022-01-28 13:16:28","41.3301353801155","82.6602707602311","50","19.01.2022 QC50","2022-01-31","Schützmann","0"
"M 220111/002 QC MM2","2022-01-11 12:18:23","46.6480538512105","93.296107702421","50","03.01.2022 QC 50","2022-01-12","Schützmann","0"
"M 220105/002 QC MM2","2022-01-10 13:09:53","39.34889220135","78.6977844027","50","27.12.2021 QC50","2022-01-12","Schützmann","0"
"M 211220/002 QC MM2","2021-12-21 18:52:02","38.8491735645474","77.6983471290948","50","20.12.2021 QC50","2021-12-22","Schützmann","0"
"M 211214/002 QC MM2","2021-12-21 17:40:47","37.7523334444186","75.5046668888372","50","14.12.2021 QC50","2022-01-03","Schützmann","0"
"M 211216/022 QC MM2","2021-12-21 16:29:35","40.6208265323242","81.2416530646485","50","16.12.2021 QC50","2021-12-22","Schützmann","0"
"M 211215/017 QC MM2","2021-12-21 11:23:43","44.8020928460327","89.6041856920655","50","15.12.2021 QC50","2021-12-22","Schützmann","0"
"M 211217/028 QC MM2","2021-12-17 22:42:49","42.915602676277","85.8312053525541","50","v. 13.12.2021","2021-12-20","Schastok","0"
"M 211217/026 QC MM2","2021-12-17 22:34:50","36.1873641317712","72.3747282635424","50","v. 02.12.2021","2021-12-20","Schastok","0"
"M 211217/006 QC MM2","2021-12-17 20:48:00","45.0898359575394","90.1796719150787","50","v. 24.11.2021","2021-12-20","Schastok","0"
"M 211217/004 QC MM2","2021-12-17 20:40:08","45.7834840329032","91.5669680658064","50","v. 24.11.2021 Swabs","2021-12-20","Schastok","0"
"M 211217/002 QC MM2","2021-12-17 20:32:13","48.259375753416","96.5187515068319","50","v. 17.11.2021","2021-12-20","Schastok","0"
"M 211217/006 QC MM2","2021-12-17 16:32:52","46.6319922920141","93.2639845840282","50","v. 24.11.2021","2021-12-20","Schastok","0"
"M 211217/004 QC MM2","2021-12-17 16:24:59","48.0906208223372","96.1812416446744","50","v. 24.11.2021 Swabs","2021-12-20","Schastok","0"
"M 211217/002 QC MM2","2021-12-17 16:17:03","47.7554735168424","95.5109470336849","50","v. 17.11.2021","2021-12-20","Schastok","0"
"M 211217/006 QC MM2","2021-12-17 12:28:31","47.748340053762","95.4966801075241","50","v. 24.11.2021","2022-01-14","Schützmann","0"
"M 211217/004 QC MM2","2021-12-17 12:12:44","47.4620577731698","94.9241155463396","50","v. 24.11.2021 Swabs","2022-01-14","Schützmann","0"
"M 211217/002 QC MM2","2021-12-17 11:56:55","47.9689856278841","95.9379712557682","50","v. 17.11.2021","2022-01-14","Schützmann","0"
"M 211104/065 QC MM2","2021-12-07 11:30:45","43.5436049702499","87.0872099404999","50","","","","0"
"M 211118/007 QC MM2","2021-11-18 12:31:45","42.1073927975499","84.2147855950998","50","","","","0"
"M 211116/003 QC MM2","2021-11-16 14:41:28","46.694460583265","93.3889211665301","50","","","","0"
"M 211116/002 QC MM2","2021-11-16 14:37:31","42.8988299718021","85.7976599436041","50","","","","0"
"M 211104/065 QC MM2 ","2021-11-04 12:27:56","45.2067872711614","90.4135745423228","50","","","","0"
"M 211026/013 QC MM2 ","2021-10-27 14:53:54","43.6460349328983","87.2920698657967","50","","","","0"
"M 211026/011 QC MM2 ","2021-10-27 14:46:00","42.4011937138599","84.8023874277198","50","","","","0"
"M 211021/040 QC MM2 ","2021-10-21 12:33:43","45.6314868486199","91.2629736972399","50","v. 30.09. VZ","2021-10-25","Schastok","0"
"M 211020/020 QC MM2 ","2021-10-20 12:44:14","41.4995168101087","82.9990336202174","50","","","","0"
"M 211020/012 QC MM2 ","2021-10-20 12:36:19","41.9795513550789","83.9591027101578","50","","","","0"
"M 211019/005 QC MM2 ","2021-10-19 12:11:06","37.1249697390409","74.2499394780817","50","","","","0"
"M 211019/004 QC MM2 ","2021-10-19 12:03:10","36.6040655512421","73.2081311024843","50","","","","0"
"M 211005/026 QC MM2 ","2021-10-13 10:46:55","42.5430403317478","85.0860806634957","50","","","","0"
"M 211004/004 QC MM2 ","2021-10-04 12:33:37","40.7353115874492","81.4706231748984","50","","","","0"
"M 211004/002 QC MM2 ","2021-10-04 12:26:00","39.9666074753488","79.9332149506977","50","","","","0"
"M 210901/002 QC MM2","2021-09-01 11:23:22","45.470974910984","90.9419498219681","50","","","","0"
"M 210830/003 QC MM2","2021-09-01 11:11:31","45.9664044917477","91.9328089834954","50","","","","0"
"M 210819/044 QC MM2","2021-08-19 13:51:22","43.9921997343971","87.9843994687943","50","","","","0"
"M 210812/002 QC MM2","2021-08-12 12:01:08","46.0071787839137","92.0143575678275","50","VZ  10.08.2021","2021-08-13","Schastok","0"
"M 210812/002 QC MM2","2021-08-12 11:57:09","42.7572183828458","85.5144367656917","50","VZ  10.08.2021","2021-08-13","Schastok","0"
"M 210812/002 QC MM2","2021-08-12 11:49:14","43.4092689202207","86.8185378404414","50","PB  10.08.2021","2021-08-13","Schastok","0"
"M 210805/002 QC MM2","2021-08-05 12:20:54","38.756707386403","77.513414772806","50","","","","0"
"M 210804/002 QC MM2","2021-08-04 12:07:42","49.2030596220834","98.4061192441668","50","","","","0"
"M 210727/006 QC MM2","2021-07-27 13:37:40","40.9767555842385","81.953511168477","50","","","","0"
"M 210727/005 QC MM2","2021-07-27 13:25:50","40.3093575162395","80.618715032479","50","","","","0"
"M 210727/008 QC MM2","2021-07-27 13:14:02","39.9895734642198","79.9791469284396","50","","","","0"
"M 210705/007 QC MM2","2021-07-05 11:28:45","43.1546190525974","86.3092381051948","50","v. 17.06.21","2021-07-05","Mönkemeyer","0"
"M 210629/011 QC MM2","2021-06-29 13:00:08","47.5142729110759","95.0285458221518","50","","","","0"
"M 210629/010 QC MM2","2021-06-29 12:48:17","43.5511353332845","87.102270666569","50","","","","0"
"M 210629/009 QC MM2","2021-06-29 12:36:24","43.1666575720501","86.3333151441001","50","","","","0"
"M 210629/008 QC MM2","2021-06-29 12:28:31","43.4401731009743","86.8803462019486","50","","","","0"
