"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M LR-20240925-2958 QC VBW vom 19.07","2024-09-26 11:34:58","51.3092752596152","1.70599698516163","","","","0"
"M LR-20240816-2  QC VBW vom 15.8","2024-08-21 15:16:54","33.7818919274749","0.564122789468246","","","","0"
"M LR-20240807-6-10 QC VBW vom 06.08","2024-08-21 15:08:59","16.2182052073147","0.149651894033136","","","","0"
"M LR-20240807-4 QC VBW vom 26.07","2024-08-21 15:01:05","15.3091135127685","0.134800581801159","","","","0"
"M LR-20240807-2 QC VBW vom 19.07","2024-08-21 14:53:13","42.8001152294822","0.791139065071945","","","","0"
"M LR-20240816-2  QC VBW vom 15.8","2024-08-16 14:09:25","24.2182259201025","0.254655412954896","","","","0"
"M LR-20240807-6-10 QC VBW vom 06.08","2024-08-16 14:01:30","14.0363828363964","0.0980281476944909","","","","0"
"M LR-20240807-2 QC VBW vom 19.07","2024-08-16 13:53:37","40.2546464875954","0.555541574676706","","","","0"
"M LR-20240731-2761  QC VBW vom 30.07","2024-08-12 12:46:58","42.545561774875","0.696897271481458","","","","0"
"M LR-20240807-4- QC VBW vom 26.07.","2024-08-12 12:35:02","30.2909735274457","0.47770619761541","26.07","2024-08-12","Fassbender","0"
"M LR-20240807-6-10 QC VBW","2024-08-07 10:51:18","7.01819016728504","-0.108535955350023","06.08","2024-08-08","Fassbender","0"
"M LR-20240807-4-10 QC VBW","2024-08-07 10:31:37","11.8545611636625","-0.060869232028696","26.07","2024-08-08","Fassbender","0"
"M LR-20240807-2 QC VBW","2024-08-07 10:23:40","18.6545780655377","0.0949595210956419","19 07","2024-08-08","Fassbender","0"
"M LR-20240731-2762  QC VBW","2024-07-31 16:37:47","32.1818871565512","0.394454918265721","","","","0"
"M LR-20240731-2761 QC VBW","2024-07-31 16:33:50","39.418278400295","0.524150931660991","","","","0"
"M LR-202400717-10 QC VBW","2024-07-17 10:42:42","36.3637228802574","0.566468087316127","","","","0"
"M LR-20240624-46  QC VBW 21.06","2024-07-08 15:04:36","32.6546173092925","0.455076616711831","","","","0"
"M LR-20240624-45 QC VBW 11.06","2024-07-08 15:00:38","43.0546585021866","0.744267567148751","","","","0"
"M LR-20240625-15 QC VBW 11.06","2024-06-25 10:53:08","70.9093663431096","2.23102442624978","","","","0"
"M LR-20240624-46  QC VBW 21.06","2024-06-24 14:49:20","21.3818539637118","0.168436571734233","","","","0"
"M LR-20240624-45 QC VBW 11.06","2024-06-24 14:45:21","18.4363952582511","0.577978717832067","","","","0"
"M LR-20240604-3  QC VBW 29.5","2024-06-04 12:01:44","219.529403106252","0.30946581290833","","","","0"
"M LR-20240604-2  QC VBW 7.5","2024-06-04 11:57:45","216.292978523317","0.225015378017499","","","","0"
"M LR-20240424-10  QC VBW","2024-04-24 16:46:37","34.8000798547702","0.561512709906885","","","","0"
"M LR-20240424-8 QC VBW","2024-04-24 16:38:44","21.2727654691773","0.231763343414431","","","","0"
"M LR-20240424-6 QC VBW","2024-04-24 16:30:46","55.7092653970264","1.22282314897268","","","","0"
"M LR-20240327-2  QC VBW","2024-03-27 12:56:06","27.2727819055928","0.349435460184481","Fli","2024-03-27","Fassbender","0"
"M LR-20240327-2  QC VBW","2024-03-27 10:14:03","29.0857744001538","0.47343857080904","","","","0"
"M LR-20240312-66 QC VBW","2024-03-13 12:11:44","17.8182091055049","0.426732133820328","","","","0"
"M LR-20240308-19 QC VBW","2024-03-11 14:03:19","16.7111367822727","0.239238961792874","","","","0"
"M LR-20240305-11 QC VBW","2024-03-07 12:38:28","44.5455740222187","1.18318446736905","lll","2024-03-11","Schützmann","0"
