"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M LR-20240327-8 QC MM3","2024-03-28 11:54:20","3.58788529084531","71.7577058169063","5","","","","0"
"M LR-20240327-8 QC MM3","2024-03-28 10:49:01","3.4007161917895","68.01432383579","5","","","","0"
"M LR-20240312-68 QC MM3","2024-03-12 14:33:52","6.03667380043844","120.733476008769","5","","","","0"
"M LR-20240308-23 QC MM3","2024-03-08 11:44:11","6.04012837141751","120.80256742835","5","RL / Kali","2024-03-11","Schützmann","0"
"M LR-20240308-22 QC MM3","2024-03-08 11:35:59","6.90847557614148","138.16951152283","5","RL","2024-03-11","Schützmann","0"
"M LR-20240305-8 QC MM3","2024-03-06 11:33:24","3.78472330932378","75.6944661864756","5","","","","0"
"M LR-20240213-493 QC MM3","2024-02-14 14:10:18","3.75634564783934","75.1269129567869","5","","","","0"
"M LR-20230727-89 QC MM3","2023-07-27 11:44:08","4.21217045748525","84.243409149705","5","neu","2023-07-28","Schützmann","0"
"M LR-20230727-89 QC MM3","2023-07-27 11:35:56","4.85130775068001","97.0261550136002","5","","","","0"
"M LR-20230724-2994 QC MM3","2023-07-24 13:52:30","4.30320323034367","86.0640646068735","5","","","","0"
"M LR 20230522-92 QC MM3","2023-05-22 11:09:30","4.82549799020639","96.5099598041279","5","","","","0"
"M LR 20230421-30 QC MM3","2023-04-21 11:03:06","5.17914439524061","103.582887904812","5","","","","0"
"M LR 20230327-4 QC MM3","2023-03-30 12:39:37","5.25856548950638","105.171309790128","5","","","","0"
"M 230224/018 QC MM3","2023-03-14 10:39:25","6.29866104142213","125.973220828443","5","","","","0"
"M 230224/018 QC MM3","2023-03-08 10:18:16","5.56911986915643","111.382397383129","5","","","","0"
"M 230224/015 QC MM3","2023-03-02 12:15:03","5.39870381806784","107.974076361357","5","","","","0"
"M 230203/056 QC MM3","2023-02-08 13:19:59","4.99536107199998","99.9072214399995","5","","","","0"
"M 230203/053 QC MM3","2023-02-08 12:47:04","","","5","","","","0"
"M 230203/053 QC MM3","2023-02-08 12:38:51","4.30892118904615","86.1784237809231","5","v. 17.01.2023","2023-02-16","Schützmann","0"
"M 230117/003 QC MM3","2023-01-18 12:59:48","5.31341308533407","106.268261706681","5","","","","0"
"M 230104/003 QC MM3","2023-01-05 11:07:45","4.16647279671123","83.3294559342246","5","","","","0"
"M 221106/041 QC MM3","2022-12-12 13:40:17","5.49121092257462","109.824218451492","5","","","","0"
"M 221106/003 QC MM3","2022-12-08 13:38:44","5.47394981934343","109.478996386869","5","","","","0"
"M 221128/003 QC MM3","2022-11-29 12:38:24","4.32963209157181","86.5926418314362","5","","","","0"
"M 220902/003 QC MM3","2022-09-05 10:59:42","6.31425557973072","126.285111594614","5","","","","0"
"M 220802/003 QC MM3","2022-08-02 12:41:46","4.8651556842256","97.303113684512","5","","","","0"
"M 220714/003 QC MM3","2022-07-14 10:05:20","4.97368901624741","99.4737803249482","5","","","","0"
"M 220711/003 QC MM3","2022-07-11 11:49:57","5.86638773250569","117.327754650114","5","","","","0"
"M 220704/003 QC MM3","2022-07-04 12:31:09","4.58284852571575","91.656970514315","5","","","","0"
"M 220620/006 QC MM3","2022-06-20 12:14:22","4.33671083920489","86.7342167840978","5","","","","0"
"M 220530/027 QC MM3","2022-05-30 10:52:20","5.57059528343038","111.411905668608","5","","","","0"
