"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M LR-20240327-8 QC MM3","2024-03-28 11:54:20","4.35449767164328","87.0899534328657","5","","","","0"
"M LR-20240327-8 QC MM3","2024-03-28 10:49:01","3.95865315325686","79.1730630651372","5","","","","0"
"M LR-20240312-68 QC MM3","2024-03-12 14:33:52","6.04840509006458","120.968101801292","5","","","","0"
"M LR-20240308-23 QC MM3","2024-03-08 11:44:11","6.68853188302713","133.770637660543","5","RL / Kali","2024-03-11","Schützmann","0"
"M LR-20240308-22 QC MM3","2024-03-08 11:35:59","5.95248678021438","119.049735604288","5","RL","2024-03-11","Schützmann","0"
"M LR-20240305-8 QC MM3","2024-03-06 11:33:24","3.25447004990176","65.0894009980351","5","","","","0"
"M LR-20240213-493 QC MM3","2024-02-14 14:10:18","4.70712005473277","94.1424010946555","5","","","","0"
"M LR-20230727-89 QC MM3","2023-07-27 11:44:08","5.81415799764403","116.283159952881","5","neu","2023-07-28","Schützmann","0"
"M LR-20230727-89 QC MM3","2023-07-27 11:35:56","5.79751040177355","115.950208035471","5","","","","0"
"M LR-20230724-2994 QC MM3","2023-07-24 13:52:30","1.07579439759168","21.5158879518336","5","","","","0"
"M LR 20230522-92 QC MM3","2023-05-22 11:09:30","4.73672406513934","94.7344813027868","5","","","","0"
"M LR 20230421-30 QC MM3","2023-04-21 11:03:06","5.29951748092883","105.990349618577","5","","","","0"
"M LR 20230327-4 QC MM3","2023-03-30 12:39:37","5.33049393556141","106.609878711228","5","","","","0"
"M 230224/018 QC MM3","2023-03-14 10:39:25","6.30095078432277","126.019015686455","5","","","","0"
"M 230224/018 QC MM3","2023-03-08 10:18:16","5.80372314605354","116.074462921071","5","","","","0"
"M 230224/015 QC MM3","2023-03-02 12:15:03","4.27917240116376","85.5834480232751","5","","","","0"
"M 230203/056 QC MM3","2023-02-08 13:19:59","5.45598080866721","109.119616173344","5","","","","0"
"M 230203/053 QC MM3","2023-02-08 12:47:04","","","5","","","","0"
"M 230203/053 QC MM3","2023-02-08 12:38:51","4.91783404415442","98.3566808830885","5","v. 17.01.2023","2023-02-16","Schützmann","0"
"M 230117/003 QC MM3","2023-01-18 12:59:48","4.39806154238662","87.9612308477324","5","","","","0"
"M 230104/003 QC MM3","2023-01-05 11:07:45","3.68764029521795","73.752805904359","5","","","","0"
"M 221106/041 QC MM3","2022-12-12 13:40:17","5.98781712665259","119.756342533052","5","","","","0"
"M 221106/003 QC MM3","2022-12-08 13:38:44","5.99254379602932","119.850875920586","5","","","","0"
"M 221128/003 QC MM3","2022-11-29 12:38:24","3.14872064691058","62.9744129382117","5","","","","0"
"M 220902/003 QC MM3","2022-09-05 10:59:42","5.83292078505226","116.658415701045","5","","","","0"
"M 220802/003 QC MM3","2022-08-02 12:41:46","4.30637577390955","86.1275154781909","5","","","","0"
"M 220714/003 QC MM3","2022-07-14 10:05:20","5.69391726337027","113.878345267405","5","","","","0"
"M 220711/003 QC MM3","2022-07-11 11:49:57","5.83772764295946","116.754552859189","5","","","","0"
