"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"M LR-20240327-8 QC MM3","2024-03-28 11:54:20",,,"5","","","","0"
"M LR-20240327-8 QC MM3","2024-03-28 10:49:01",,,"5","","","","0"
"M LR-20240312-68 QC MM3","2024-03-12 14:33:52","3.85807409132528","77.1614818265056","5","","","","0"
"M LR-20240308-23 QC MM3","2024-03-08 11:44:11","4.92532106100864","98.5064212201727","5","RL / Kali","2024-03-11","Schützmann","0"
"M LR-20240308-22 QC MM3","2024-03-08 11:35:59","3.96909727709795","79.3819455419591","5","RL","2024-03-11","Schützmann","0"
"M LR-20240305-8 QC MM3","2024-03-06 11:33:24","0.42497544684806","8.49950893696121","5","","","","0"
"M LR-20240213-493 QC MM3","2024-02-14 14:10:18","0.175258192915265","3.5051638583053","5","","","","0"
"M LR-20230727-89 QC MM3","2023-07-27 11:44:08","1.13284364701254","22.6568729402507","5","neu","2023-07-28","Schützmann","0"
"M LR-20230727-89 QC MM3","2023-07-27 11:35:56","1.20906141750374","24.1812283500749","5","","","","0"
"M LR-20230724-2994 QC MM3","2023-07-24 13:52:30","0.397313521846121","7.94627043692241","5","","","","0"
"M LR 20230522-92 QC MM3","2023-05-22 11:09:30","3.37168507760832","67.4337015521665","5","","","","0"
"M LR 20230421-30 QC MM3","2023-04-21 11:03:06","4.07630226008912","81.5260452017824","5","","","","0"
"M LR 20230327-4 QC MM3","2023-03-30 12:39:37","4.23267527507152","84.6535055014304","5","","","","0"
"M 230224/018 QC MM3","2023-03-14 10:39:25","4.96563153571046","99.3126307142091","5","","","","0"
"M 230224/018 QC MM3","2023-03-08 10:18:16","5.73975646859425","114.795129371885","5","","","","0"
"M 230224/015 QC MM3","2023-03-02 12:15:03","3.66091322840145","73.2182645680289","5","","","","0"
"M 230203/056 QC MM3","2023-02-08 13:19:59","4.04428423068926","80.8856846137851","5","","","","0"
"M 230203/053 QC MM3","2023-02-08 12:47:04","","","5","","","","0"
"M 230203/053 QC MM3","2023-02-08 12:38:51","3.7726037201125","75.4520744022501","5","v. 17.01.2023","2023-02-16","Schützmann","0"
"M 230117/003 QC MM3","2023-01-18 12:59:48","4.08402504703332","81.6805009406664","5","","","","0"
"M 230104/003 QC MM3","2023-01-05 11:07:45","3.14827902575402","62.9655805150805","5","","","","0"
"M 221106/041 QC MM3","2022-12-12 13:40:17","4.49560997015424","89.9121994030847","5","","","","0"
"M 221106/003 QC MM3","2022-12-08 13:38:44","4.45147713747636","89.0295427495273","5","","","","0"
"M 221128/003 QC MM3","2022-11-29 12:38:24","2.12495059978757","42.4990119957514","5","","","","0"
"M 220902/003 QC MM3","2022-09-05 10:59:42","5.62591712934844","112.518342586969","5","","","","0"
"M 220802/003 QC MM3","2022-08-02 12:41:46","3.71807278734452","74.3614557468904","5","","","","0"
"M 220714/003 QC MM3","2022-07-14 10:05:20","5.03912282692816","100.782456538563","5","","","","0"
"M 220711/003 QC MM3","2022-07-11 11:49:57","4.21040978756805","84.2081957513609","5","","","","0"
"M 220704/003 QC MM3","2022-07-04 12:31:09","3.75312435258164","75.0624870516328","5","","","","0"
"M 220620/006 QC MM3","2022-06-20 12:14:22","3.86760661424663","77.3521322849326","5","","","","0"
"M 220530/027 QC MM3","2022-05-30 10:52:20","3.86453938064642","77.2907876129283","5","","","","0"
"M 220516/066 QC MM3","2022-05-16 12:25:49","2.67330719971309","53.4661439942618","5","","","","0"
"M 220505/010 QC MM3","2022-05-05 11:16:42","4.72654018733149","94.5308037466297","5","","","","0"
"M 220425/003 QC MM3","2022-04-26 12:15:14","1.91734790635901","38.3469581271801","5","QC5 22.04.22","2022-04-29","Schützmann","0"
"M 220405/003 QC MM3","2022-04-05 11:11:59","4.4062059807339","88.124119614678","5","QC5","2022-04-11","Schützmann","0"
"M 220323/003 QC MM3","2022-03-25 11:24:40","4.00894020812761","80.1788041625522","5","QC5","2022-03-25","Schützmann","0"
"M 220307/181 QC MM3","2022-03-07 13:46:30","3.15335280679808","63.0670561359616","5","QC5","2022-03-15","Schützmann","0"
"M 220301/067 QC MM3","2022-03-01 11:04:13","5.03592222060218","100.718444412044","5","QC5","2022-03-03","Schützmann","0"
"M 220228/003 QC MM3","2022-02-28 11:31:44","4.3351180240106","86.7023604802121","5","QC5","2022-03-03","Schützmann","0"
"M 220221/003 QC MM3","2022-02-21 10:52:38","4.45664808125343","89.1329616250686","5","QC5","2022-02-22","Schützmann","0"
"M 220211/014 QC MM3","2022-02-11 10:35:39","4.30705512924508","86.1411025849016","5","QC5","2022-02-18","Schützmann","0"
"M 220127/003 QC MM3","2022-01-27 12:09:22","4.55033008768171","91.0066017536341","5","QC5","2022-01-31","Schützmann","0"
"M 220119/006 QC MM3","2022-01-20 14:23:24","2.30484330370453","46.0968660740905","5","v. 19.01.2022 QC5","2022-01-25","Schastok","0"
"M 211220/003 QC MM3","2021-12-20 15:46:41","4.30717510549072","86.1435021098145","5","","","","0"
"M QC MM3","2021-12-16 12:49:34","4.93240835496051","98.6481670992101","5","","","","0"
"M 211215/018 QC MM3","2021-12-15 11:49:55","5.85410511549207","117.082102309841","5","","","","0"
"M 211214/003 QC MM3","2021-12-14 11:46:25","3.97957310306952","79.5914620613904","5","","","","0"
"M 211118/008 QC MM3","2021-12-09 13:56:21","3.74143755871756","74.8287511743512","5","v. 18.11.21","2021-12-10","Schützmann","0"
"M 211018/007 QC MM3 ","2021-10-18 15:12:14","1.81955457759228","36.3910915518457","5","Aufgrund von Geräteschwierigkeiten konnten die Proben erst später am Tag gemessen werden","2021-10-19","Mönkemeyer","0"
"M 210628/008 QC MM3","2021-06-28 09:55:56","5.01815918971499","100.3631837943","5","","","","0"
"M 210624/004 QC MM3","2021-06-24 11:21:51","4.27952091392249","85.5904182784498","5","","","","0"
"M 210623/002 QC MM3","2021-06-23 12:55:41","4.83047886535537","96.6095773071073","5","","","","0"
"M 210421/006 QC MM3","2021-04-21 15:57:44","3.64262607032877","72.8525214065754","5","","","","0"
"M 210420/003 QC MM3","2021-04-20 11:13:04","4.27305703950727","85.4611407901454","5","","","","0"
"M 210308/003 QC MM3","2021-03-08 12:44:40","3.62280920446582","72.4561840893165","5","","","","0"
