"Labels","StartTime","Concentration","WFR","Defined","Comment","TimeStamp","Operator","Outlier"
"NIST 1632 d Z0","2020-09-15 15:44:06","83.7744","90.2741379310345","92.8","","","","0"
"NIST 1632 d Z0","2020-09-15 15:36:41","99.0844","106.771982758621","92.8","","","","0"
"NIST 1632 d Z0","2020-09-15 15:06:59","99.2675","106.969288793103","92.8","","","","0"
"NIST 1632 d Z0","2020-09-15 14:16:33","85.2773","91.8936422413793","92.8","","","","0"
"NIST 1632 d Z0","2020-09-15 13:39:26","87.0779","93.8339439655172","92.8","","","","0"
"NIST 1632 d","2019-01-31 17:19:35","90.4402","97.4571120689655","92.8","","","","0"
"NIST 1632 d","2019-01-16 10:23:02","91.3434","98.4303879310345","92.8","","","","0"
"NIST 1632 d","2018-12-12 08:44:06","85.3617","91.9845905172414","92.8","","","","0"
"NIST 1632 d","2018-12-11 16:17:02","92.8271","100.029202586207","92.8","","","","0"
"NIST 1632 d","2018-12-05 13:16:36","92.12","99.2672413793103","92.8","","","","0"
